year,state,county,county_clean,state_ansi,county_ansi,fips,commodity,data_item,yield_bu_acre,region_group
2022,ILLINOIS,DE WITT,DE WITT,17,39.0,17039,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",232.9,CORN_BELT
2022,ILLINOIS,LOGAN,LOGAN,17,107.0,17107,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",229.1,CORN_BELT
2022,ILLINOIS,MACON,MACON,17,115.0,17115,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",232.5,CORN_BELT
2022,ILLINOIS,MARSHALL,MARSHALL,17,123.0,17123,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",221.7,CORN_BELT
2022,ILLINOIS,MASON,MASON,17,125.0,17125,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",219.9,CORN_BELT
2022,ILLINOIS,MCLEAN,MCLEAN,17,113.0,17113,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",232.3,CORN_BELT
2022,ILLINOIS,MENARD,MENARD,17,129.0,17129,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",229.3,CORN_BELT
2022,ILLINOIS,PEORIA,PEORIA,17,143.0,17143,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",224.5,CORN_BELT
2022,ILLINOIS,STARK,STARK,17,175.0,17175,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",240.6,CORN_BELT
2022,ILLINOIS,TAZEWELL,TAZEWELL,17,179.0,17179,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",229.9,CORN_BELT
2022,ILLINOIS,WOODFORD,WOODFORD,17,203.0,17203,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",235.7,CORN_BELT
2022,ILLINOIS,CHAMPAIGN,CHAMPAIGN,17,19.0,17019,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",219.1,CORN_BELT
2022,ILLINOIS,FORD,FORD,17,53.0,17053,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",222.5,CORN_BELT
2022,ILLINOIS,IROQUOIS,IROQUOIS,17,75.0,17075,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",212.4,CORN_BELT
2022,ILLINOIS,KANKAKEE,KANKAKEE,17,91.0,17091,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",209.5,CORN_BELT
2022,ILLINOIS,LIVINGSTON,LIVINGSTON,17,105.0,17105,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",213.4,CORN_BELT
2022,ILLINOIS,PIATT,PIATT,17,147.0,17147,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",220.1,CORN_BELT
2022,ILLINOIS,VERMILION,VERMILION,17,183.0,17183,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",218.4,CORN_BELT
2022,ILLINOIS,CLARK,CLARK,17,23.0,17023,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",207.1,CORN_BELT
2022,ILLINOIS,CLAY,CLAY,17,25.0,17025,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",203.7,CORN_BELT
2022,ILLINOIS,CRAWFORD,CRAWFORD,17,33.0,17033,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",212.6,CORN_BELT
2022,ILLINOIS,CUMBERLAND,CUMBERLAND,17,35.0,17035,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",222.4,CORN_BELT
2022,ILLINOIS,DOUGLAS,DOUGLAS,17,41.0,17041,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",210.0,CORN_BELT
2022,ILLINOIS,EDGAR,EDGAR,17,45.0,17045,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",211.9,CORN_BELT
2022,ILLINOIS,EFFINGHAM,EFFINGHAM,17,49.0,17049,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",220.9,CORN_BELT
2022,ILLINOIS,JASPER,JASPER,17,79.0,17079,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",203.6,CORN_BELT
2022,ILLINOIS,LAWRENCE,LAWRENCE,17,101.0,17101,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",192.1,CORN_BELT
2022,ILLINOIS,MARION,MARION,17,121.0,17121,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",194.3,CORN_BELT
2022,ILLINOIS,MOULTRIE,MOULTRIE,17,139.0,17139,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",210.5,CORN_BELT
2022,ILLINOIS,SHELBY,SHELBY,17,173.0,17173,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",214.5,CORN_BELT
2022,ILLINOIS,BOONE,BOONE,17,7.0,17007,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",209.2,CORN_BELT
2022,ILLINOIS,DE KALB,DE KALB,17,37.0,17037,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",224.1,CORN_BELT
2022,ILLINOIS,DU PAGE,DU PAGE,17,43.0,17043,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",184.7,CORN_BELT
2022,ILLINOIS,GRUNDY,GRUNDY,17,63.0,17063,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",215.4,CORN_BELT
2022,ILLINOIS,KANE,KANE,17,89.0,17089,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",215.0,CORN_BELT
2022,ILLINOIS,KENDALL,KENDALL,17,93.0,17093,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",221.3,CORN_BELT
2022,ILLINOIS,LA SALLE,LA SALLE,17,99.0,17099,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",220.0,CORN_BELT
2022,ILLINOIS,LAKE,LAKE,17,97.0,17097,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",189.1,CORN_BELT
2022,ILLINOIS,WILL,WILL,17,197.0,17197,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",207.8,CORN_BELT
2022,ILLINOIS,BUREAU,BUREAU,17,11.0,17011,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",225.1,CORN_BELT
2022,ILLINOIS,CARROLL,CARROLL,17,15.0,17015,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",228.2,CORN_BELT
