year,state,county,county_clean,state_ansi,county_ansi,fips,yield_bu_acre
2022,ILLINOIS,DE WITT,DE WITT,17,39.0,17039,232.9
2022,ILLINOIS,LOGAN,LOGAN,17,107.0,17107,229.1
2022,ILLINOIS,MACON,MACON,17,115.0,17115,232.5
2022,ILLINOIS,MARSHALL,MARSHALL,17,123.0,17123,221.7
2022,ILLINOIS,MASON,MASON,17,125.0,17125,219.9
2022,ILLINOIS,MCLEAN,MCLEAN,17,113.0,17113,232.3
2022,ILLINOIS,MENARD,MENARD,17,129.0,17129,229.3
2022,ILLINOIS,PEORIA,PEORIA,17,143.0,17143,224.5
2022,ILLINOIS,STARK,STARK,17,175.0,17175,240.6
2022,ILLINOIS,TAZEWELL,TAZEWELL,17,179.0,17179,229.9
2022,ILLINOIS,WOODFORD,WOODFORD,17,203.0,17203,235.7
2022,ILLINOIS,CHAMPAIGN,CHAMPAIGN,17,19.0,17019,219.1
2022,ILLINOIS,FORD,FORD,17,53.0,17053,222.5
2022,ILLINOIS,IROQUOIS,IROQUOIS,17,75.0,17075,212.4
2022,ILLINOIS,KANKAKEE,KANKAKEE,17,91.0,17091,209.5
2022,ILLINOIS,LIVINGSTON,LIVINGSTON,17,105.0,17105,213.4
2022,ILLINOIS,PIATT,PIATT,17,147.0,17147,220.1
2022,ILLINOIS,VERMILION,VERMILION,17,183.0,17183,218.4
2022,ILLINOIS,CLARK,CLARK,17,23.0,17023,207.1
2022,ILLINOIS,CLAY,CLAY,17,25.0,17025,203.7
2022,ILLINOIS,CRAWFORD,CRAWFORD,17,33.0,17033,212.6
2022,ILLINOIS,CUMBERLAND,CUMBERLAND,17,35.0,17035,222.4
2022,ILLINOIS,DOUGLAS,DOUGLAS,17,41.0,17041,210.0
2022,ILLINOIS,EDGAR,EDGAR,17,45.0,17045,211.9
2022,ILLINOIS,EFFINGHAM,EFFINGHAM,17,49.0,17049,220.9
2022,ILLINOIS,JASPER,JASPER,17,79.0,17079,203.6
2022,ILLINOIS,LAWRENCE,LAWRENCE,17,101.0,17101,192.1
2022,ILLINOIS,MARION,MARION,17,121.0,17121,194.3
2022,ILLINOIS,MOULTRIE,MOULTRIE,17,139.0,17139,210.5
2022,ILLINOIS,SHELBY,SHELBY,17,173.0,17173,214.5
2022,ILLINOIS,BOONE,BOONE,17,7.0,17007,209.2
2022,ILLINOIS,DE KALB,DE KALB,17,37.0,17037,224.1
2022,ILLINOIS,DU PAGE,DU PAGE,17,43.0,17043,184.7
2022,ILLINOIS,GRUNDY,GRUNDY,17,63.0,17063,215.4
2022,ILLINOIS,KANE,KANE,17,89.0,17089,215.0
2022,ILLINOIS,KENDALL,KENDALL,17,93.0,17093,221.3
2022,ILLINOIS,LA SALLE,LA SALLE,17,99.0,17099,220.0
2022,ILLINOIS,LAKE,LAKE,17,97.0,17097,189.1
2022,ILLINOIS,WILL,WILL,17,197.0,17197,207.8
2022,ILLINOIS,BUREAU,BUREAU,17,11.0,17011,225.1
2022,ILLINOIS,CARROLL,CARROLL,17,15.0,17015,228.2
2022,ILLINOIS,HENRY,HENRY,17,73.0,17073,231.9
2022,ILLINOIS,JO DAVIESS,JO DAVIESS,17,85.0,17085,210.8
2022,ILLINOIS,LEE,LEE,17,103.0,17103,224.4
2022,ILLINOIS,MERCER,MERCER,17,131.0,17131,226.6
2022,ILLINOIS,OGLE,OGLE,17,141.0,17141,234.7
2022,ILLINOIS,PUTNAM,PUTNAM,17,155.0,17155,216.2
2022,ILLINOIS,ROCK ISLAND,ROCK ISLAND,17,161.0,17161,224.2
2022,ILLINOIS,STEPHENSON,STEPHENSON,17,177.0,17177,209.7
2022,ILLINOIS,WHITESIDE,WHITESIDE,17,195.0,17195,219.8
2022,ILLINOIS,WINNEBAGO,WINNEBAGO,17,201.0,17201,206.5
2022,ILLINOIS,EDWARDS,EDWARDS,17,47.0,17047,179.5
2022,ILLINOIS,FRANKLIN,FRANKLIN,17,55.0,17055,176.1
2022,ILLINOIS,GALLATIN,GALLATIN,17,59.0,17059,182.7
2022,ILLINOIS,HAMILTON,HAMILTON,17,65.0,17065,171.2
2022,ILLINOIS,JEFFERSON,JEFFERSON,17,81.0,17081,162.4
2022,ILLINOIS,MASSAC,MASSAC,17,127.0,17127,170.8
2022,ILLINOIS,SALINE,SALINE,17,165.0,17165,180.7
2022,ILLINOIS,WABASH,WABASH,17,185.0,17185,181.8
2022,ILLINOIS,WAYNE,WAYNE,17,191.0,17191,189.0
2022,ILLINOIS,WHITE,WHITE,17,193.0,17193,190.2
2022,ILLINOIS,ALEXANDER,ALEXANDER,17,3.0,17003,162.2
2022,ILLINOIS,CLINTON,CLINTON,17,27.0,17027,196.5
2022,ILLINOIS,JACKSON,JACKSON,17,77.0,17077,174.9
2022,ILLINOIS,JOHNSON,JOHNSON,17,87.0,17087,168.0
2022,ILLINOIS,MONROE,MONROE,17,133.0,17133,171.0
2022,ILLINOIS,PERRY,PERRY,17,145.0,17145,161.4
2022,ILLINOIS,PULASKI,PULASKI,17,153.0,17153,175.8
2022,ILLINOIS,RANDOLPH,RANDOLPH,17,157.0,17157,171.6
2022,ILLINOIS,ST CLAIR,ST CLAIR,17,163.0,17163,185.3
2022,ILLINOIS,UNION,UNION,17,181.0,17181,166.6
2022,ILLINOIS,WASHINGTON,WASHINGTON,17,189.0,17189,184.8
