model,evaluation_set,feature_set,feature,importance
gradient_boost,corn_belt_cv,climate_only,prism_tmax_may_sep_mean,0.7439788495631531
gradient_boost,corn_belt_cv,climate_only,prism_ppt_may_sep_total,0.2560211504368468
gradient_boost,corn_belt_cv,climate_plus_drought,prism_tmax_may_sep_mean,0.501372830466311
gradient_boost,corn_belt_cv,climate_plus_drought,prism_ppt_may_sep_total,0.09278744226476557
gradient_boost,corn_belt_cv,climate_plus_drought,drought_freq_d2plus,0.045852618986623385
gradient_boost,corn_belt_cv,climate_plus_drought,drought_intensity_d2plus,0.3599871082823
gradient_boost,great_plains_transfer,climate_only,prism_tmax_may_sep_mean,0.7507264237040737
gradient_boost,great_plains_transfer,climate_only,prism_ppt_may_sep_total,0.24927357629592636
gradient_boost,great_plains_transfer,climate_plus_drought,prism_tmax_may_sep_mean,0.5060344975761167
gradient_boost,great_plains_transfer,climate_plus_drought,prism_ppt_may_sep_total,0.08559369107278055
gradient_boost,great_plains_transfer,climate_plus_drought,drought_freq_d2plus,0.04250191139001867
gradient_boost,great_plains_transfer,climate_plus_drought,drought_intensity_d2plus,0.365869899961084
gradient_boost,gp_to_cb_transfer,climate_only,prism_tmax_may_sep_mean,0.7039799498777296
gradient_boost,gp_to_cb_transfer,climate_only,prism_ppt_may_sep_total,0.2960200501222703
gradient_boost,gp_to_cb_transfer,climate_plus_drought,prism_tmax_may_sep_mean,0.6539749475484289
gradient_boost,gp_to_cb_transfer,climate_plus_drought,prism_ppt_may_sep_total,0.2461914465858412
gradient_boost,gp_to_cb_transfer,climate_plus_drought,drought_freq_d2plus,0.024329789849823893
gradient_boost,gp_to_cb_transfer,climate_plus_drought,drought_intensity_d2plus,0.07550381601590624
